CODIGO,NOMBRE PRODUCTO,DESCRIPCION,OBSERVACIONES,CATEGORIA,SUBCATEGORIA,COLOR,UNIDAD DE VENTA
PCH-07,,PARCHE NEGRO U.O.T RECTANGULAR GRANDE (23.5x13.5cm),,,,-,PIEZA
PCH-08,,PARCHE NEGRO U.O.T RECTANGULAR PEQUENO (10.5x5cm),,,,-,PIEZA
PCH-05,,PARCHE KHAKI K-9 SPECIAL UNIT LETRAS./ TELA OXFORD C/VELCRO,,,,-,PIEZA
PCH-06,,PARCHE BEIGE K-9 LETRAS./ TELA OXFORD C/VELCRO,,,,-,PIEZA
GOR-02,,GORRA 100% POLYESTER TODA NEGRA 56-58CM C/ LOGO ESTRELLA CORPORACION NEGRO,,,,NEGRO,PIEZA
VIS-01,,VISERA TODA NEGRA C/LOGO ESTRELLA CORPORACION TODO NEGRO,,,,NEGRO,PIEZA
GOC-01,,"GORRA/ SOMBRERO CHAVITO AZUL OSCURO CON PROTECTOR DE  CUELLO Y NUCA, AJUSTABLE. Y BOTONES EN LA CABEZA. C/ LOGO ESTRELLA CORPORACION BLANCO",,,,AZUL OSCURO,PZA
TAR-01,,TAPON AUDITIVO REUTILIZABLE 24DB,,,,-,SET
FFT-XRE-300,,FIBRAS/ PASTILLAS  DE FRENO TRASERAS P/ XRE-300 CERAMICA,,,,-,SET
LLA-120/80-18,,LLANTA P/ MOTOCICLETA 120/80-18 TT 5.5KGS,,,,-,PIEZA
LLA-90/90-21,,LLANTA P/ MOTOCICLETA 275-21 TT MT-125 4.2KGS,,,,-,PIEZA
HAL-01,,HALOGENO-CUBO LED HIGH POWER BLANCO  C/BASES,,,,-,PIEZA
CAJ-01,,CAJON TRASERO P/MOTO PLASTICO C/REFLECTIVO Y LLAVES  SEGURIDAD 30LITROS,,,,-,PIEZA
CDP-520,,CADENA DE PASO 520 O RING,,,,-,PIEZA
PAF-XR-XL,,ZAPATAS FRENO XR-XL,,,,-,PIEZA
CAD-SPRO,,CADENA DE PINONES XR-XL,,,,-,
KPLXRE-300-39T,,PINONES XRE300 39T,,,,-,
